Name,job title,headline,summary,keywords,educations,experiences,skills,disqualified,candidate_profile,score
Candidate 55,ruby + (golang/rust) engineer,,,ruby|ruby on rails|postgresql|golang|react,bacharelado  at pontifical catholic university of minas gerais (jan 2015 to dec 2019),senior software engineer at março de (jan 2024 to n/a)  | software engineer at ateliê de software (n/a to n/a)  | ruby on rails developer at poços de caldas (n/a to n/a)  | assistente técnico em redes at botelhos (n/a to n/a)  | software engineer at delivery center (n/a to n/a)  | desenvolvedor web júnior at poços de caldas (n/a to n/a)  | desenvolvedor full stack at poços de caldas area (n/a to n/a)  | software engineer at sofi (n/a to n/a)  | customer support analyst at poços de caldas (n/a to n/a),,1,  bacharelado  at pontifical catholic university of minas gerais (jan 2015 to dec 2019) senior software engineer at março de (jan 2024 to n/a)  | software engineer at ateliê de software (n/a to n/a)  | ruby on rails developer at poços de caldas (n/a to n/a)  | assistente técnico em redes at botelhos (n/a to n/a)  | software engineer at delivery center (n/a to n/a)  | desenvolvedor web júnior at poços de caldas (n/a to n/a)  | desenvolvedor full stack at poços de caldas area (n/a to n/a)  | software engineer at sofi (n/a to n/a)  | customer support analyst at poços de caldas (n/a to n/a) ,0.09575256700117633
Candidate 56,ruby + (golang/rust) engineer,,,ruby|ruby on rails,"computer science at universidade do vale do rio dos sinos (jan 2020 to jan 2023)  |  e-business and revolution at california state university, northridge (jan 2018 to jan 2018)  |  ciencia da computação, ciência da computação at university of caxias do sul (jan 2017 to jan 2019)",software engineer at red hat (mar 2021 to n/a)  | software engineer at hp (jan 2020 to mar 2021)  | embedded software engineer at luminator technology group (dec 2018 to dec 2019)  | accounting assistant at escritório confidenza (apr 2013 to nov 2018)  | computer maintenance at ebi informática (feb 2011 to mar 2013),,1,"  computer science at universidade do vale do rio dos sinos (jan 2020 to jan 2023)  |  e-business and revolution at california state university, northridge (jan 2018 to jan 2018)  |  ciencia da computação, ciência da computação at university of caxias do sul (jan 2017 to jan 2019) software engineer at red hat (mar 2021 to n/a)  | software engineer at hp (jan 2020 to mar 2021)  | embedded software engineer at luminator technology group (dec 2018 to dec 2019)  | accounting assistant at escritório confidenza (apr 2013 to nov 2018)  | computer maintenance at ebi informática (feb 2011 to mar 2013) ",0.03479413232866845
Candidate 57,ruby + (golang/rust) engineer,,,ruby|ruby on rails,bacharel sistemas de informação at universidade de vila velha - uvv (jan 2005 to dec 2008)  | iftl  at são paulo state technological college (n/a to n/a),líder técnico at bio ritmo academia (oct 2018 to n/a)  | proprietário at vixbiz (n/a to n/a)  | professor at escola contec (n/a to n/a)  | analista de sistemas at netsimples (n/a to n/a),,1,  bacharel sistemas de informação at universidade de vila velha - uvv (jan 2005 to dec 2008)  | iftl  at são paulo state technological college (n/a to n/a) líder técnico at bio ritmo academia (oct 2018 to n/a)  | proprietário at vixbiz (n/a to n/a)  | professor at escola contec (n/a to n/a)  | analista de sistemas at netsimples (n/a to n/a) ,0.0
Candidate 58,qa engineer - manual,12510 cliff edge drive,,,bachelor's science and computer science at virginia commonwealth university (n/a to may 2019),quality assurance analyst remote at take2 it consulting (aug 2023 to n/a)  | program analyst remote at cssi (jun 2023 to jul 2023)  | quality assurance analyst remote at take2 it consulting (oct 2021 to jun 2023)  | application support specialist remote at fannie mae (jul 2020 to dec 2020),,1,12510 cliff edge drive  bachelor's science and computer science at virginia commonwealth university (n/a to may 2019) quality assurance analyst remote at take2 it consulting (aug 2023 to n/a)  | program analyst remote at cssi (jun 2023 to jul 2023)  | quality assurance analyst remote at take2 it consulting (oct 2021 to jun 2023)  | application support specialist remote at fannie mae (jul 2020 to dec 2020) ,0.0
Candidate 59,lead generator,,,,,tutors at diploma in management of sports entities (jan 2023 to jan 2024)  | operations coordinator at pereira (nov 2021 to apr 2024),microsoft excel|communication|oral communication|interpersonal skills|business-to-business (b2b)|sales processes,1,   tutors at diploma in management of sports entities (jan 2023 to jan 2024)  | operations coordinator at pereira (nov 2021 to apr 2024) microsoft excel|communication|oral communication|interpersonal skills|business-to-business (b2b)|sales processes,0.0
Candidate 60,qa engineer - manual,junior sqa engineer at workpay,,,bachelor accounting at catholic university of eastern africa (n/a to dec 2013),junior sqa engineer at workpay (jan 2023 to n/a)  | mckinsey forward program at mckinsey academy (n/a to n/a)  | certified public accountant at kenya accountants and secretaries national (n/a to n/a)  | software quality assurance intern at workpay (n/a to n/a)  | software quality assurance intern at portnov computer school (n/a to n/a),,1,junior sqa engineer at workpay  bachelor accounting at catholic university of eastern africa (n/a to dec 2013) junior sqa engineer at workpay (jan 2023 to n/a)  | mckinsey forward program at mckinsey academy (n/a to n/a)  | certified public accountant at kenya accountants and secretaries national (n/a to n/a)  | software quality assurance intern at workpay (n/a to n/a)  | software quality assurance intern at portnov computer school (n/a to n/a) ,0.05532146130597049
Candidate 61,qa engineer - manual,,,,software engineering at university center of belo horizonte (n/a to n/a)  | master of business administration international business administration at university center of belo horizonte (n/a to n/a),quality assurance analyst at  (nov 2023 to n/a)  | quality assurance automation engineer at acrelec (may 2022 to oct 2023)  | quality assurance engineer at avaya (aug 2021 to mar 2022)  | quality assurance analyst at vetta sms group (nov 2020 to aug 2021)  | quality assurance analyst at totvs (mar 2020 to nov 2020)  | test automation engineer at unisys (apr 2019 to feb 2020)  | test engineer at ericsson (jan 2018 to feb 2019)  | tester at appen (jul 2017 to jan 2018)  | tester at lionbridge (feb 2015 to jun 2017)  | test analyst at squadra tecnologia (sep 2012 to jan 2015)  | test analyst at ibm (jan 2008 to aug 2012)  | trainee php developer at 2xt tecnologia (may 2007 to dec 2007),,1,  software engineering at university center of belo horizonte (n/a to n/a)  | master of business administration international business administration at university center of belo horizonte (n/a to n/a) quality assurance analyst at  (nov 2023 to n/a)  | quality assurance automation engineer at acrelec (may 2022 to oct 2023)  | quality assurance engineer at avaya (aug 2021 to mar 2022)  | quality assurance analyst at vetta sms group (nov 2020 to aug 2021)  | quality assurance analyst at totvs (mar 2020 to nov 2020)  | test automation engineer at unisys (apr 2019 to feb 2020)  | test engineer at ericsson (jan 2018 to feb 2019)  | tester at appen (jul 2017 to jan 2018)  | tester at lionbridge (feb 2015 to jun 2017)  | test analyst at squadra tecnologia (sep 2012 to jan 2015)  | test analyst at ibm (jan 2008 to aug 2012)  | trainee php developer at 2xt tecnologia (may 2007 to dec 2007) ,0.0483374088843681
Candidate 62,qa engineer - manual,,,,bachelor of science computer application at aligarh muslim university (n/a to dec 2013),luxury cosmetics brand at kamaayurveda (feb 2021 to jun 2023),,1,  bachelor of science computer application at aligarh muslim university (n/a to dec 2013) luxury cosmetics brand at kamaayurveda (feb 2021 to jun 2023) ,0.0
Candidate 63,lead generator,,,,bachelor's environmental sciences at polytechnic university of valencia (n/a to dec 2019)  | bachelor's environmental engineering at sergio arboleda university (n/a to dec 2022),marketing coordinator at maria soto mortgage. real estate (mar 2024 to n/a)  | marketing analyst at seos energy. residential solar energy fintech (oct 2022 to n/a)  | sales representative at sunrun (sep 2019 to jun 2022),sales|communication|customer relationship management (crm),1,  bachelor's environmental sciences at polytechnic university of valencia (n/a to dec 2019)  | bachelor's environmental engineering at sergio arboleda university (n/a to dec 2022) marketing coordinator at maria soto mortgage. real estate (mar 2024 to n/a)  | marketing analyst at seos energy. residential solar energy fintech (oct 2022 to n/a)  | sales representative at sunrun (sep 2019 to jun 2022) sales|communication|customer relationship management (crm),0.0
Candidate 64,qa engineer - manual,,,,"licenciado administración at experimental simón rodríguez ""unesr (n/a to n/a)",operador de servicio at pedidos ya (may 2024 to jun 2024)  | analista qa at qanova (jul 2022 to feb 2024)  | especialista de productos ti at febre 2021 banco estado (jan 2020 to n/a)  | especialista de productos ti at banco itau (jan 2018 to dec 2019)  | venezuela especialista de qa at banco banesco (jan 2017 to dec 2018)  | analista funcional at uniseguros (jan 2015 to jul 2016)  | venezuela analista calidad at vivir seguros (jan 2011 to may 2015)  | venezuela consultor at bancaribe (jan 2011 to sep 2011)  | venezuela consultor de procesos at seguros constitucion (jan 2009 to may 2011)  | venezuela consultor de procesos at seguros la previsora (jan 2006 to jun 2009)  | mensajero externo at grupo zoom (jan 2005 to dec 2006)  | venezuela operador de call center at atento (jan 2005 to dec 2006),quality assurance|organization skills,1,"  licenciado administración at experimental simón rodríguez ""unesr (n/a to n/a) operador de servicio at pedidos ya (may 2024 to jun 2024)  | analista qa at qanova (jul 2022 to feb 2024)  | especialista de productos ti at febre 2021 banco estado (jan 2020 to n/a)  | especialista de productos ti at banco itau (jan 2018 to dec 2019)  | venezuela especialista de qa at banco banesco (jan 2017 to dec 2018)  | analista funcional at uniseguros (jan 2015 to jul 2016)  | venezuela analista calidad at vivir seguros (jan 2011 to may 2015)  | venezuela consultor at bancaribe (jan 2011 to sep 2011)  | venezuela consultor de procesos at seguros constitucion (jan 2009 to may 2011)  | venezuela consultor de procesos at seguros la previsora (jan 2006 to jun 2009)  | mensajero externo at grupo zoom (jan 2005 to dec 2006)  | venezuela operador de call center at atento (jan 2005 to dec 2006) quality assurance|organization skills",0.04388819363668639
Candidate 65,qa engineer - manual,,,,,weelo at bee agency jsc (apr 2020 to may 2020)  | software engineer at title (n/a to n/a),,1,   weelo at bee agency jsc (apr 2020 to may 2020)  | software engineer at title (n/a to n/a) ,0.08548740704958512
Candidate 66,qa engineer - manual,,,,bachelor of engineering electronics engineering at kalyani government engineering college (mar 2006 to apr 2010),senior software engineer at qapitol qa (mar 2020 to n/a)  | office ride at ford motor (mar 2020 to nov 2020),,1,  bachelor of engineering electronics engineering at kalyani government engineering college (mar 2006 to apr 2010) senior software engineer at qapitol qa (mar 2020 to n/a)  | office ride at ford motor (mar 2020 to nov 2020) ,0.10988845136896122
Candidate 67,qa engineer - manual,senior consultant at protiviti,,,,senior consultant at protiviti (feb 2024 to n/a)  | test engineer at protiviti- emkan finance (sep 2021 to jan 2022)  | senior software engineer at pandocorp - hach chemicals (apr 2021 to aug 2021)  | senior software engineer at pandocorp - pando application (aug 2020 to mar 2021)  | associate analyst at wipro- your benefit resource (oct 2018 to jul 2020),,1,senior consultant at protiviti   senior consultant at protiviti (feb 2024 to n/a)  | test engineer at protiviti- emkan finance (sep 2021 to jan 2022)  | senior software engineer at pandocorp - hach chemicals (apr 2021 to aug 2021)  | senior software engineer at pandocorp - pando application (aug 2020 to mar 2021)  | associate analyst at wipro- your benefit resource (oct 2018 to jul 2020) ,0.08402642314395753
Candidate 68,ruby + (golang/rust) engineer,,,,bachelor of fine arts communication design at texas state university (jun 2010 to dec 2014),senior ux and ui designer at slide ux (dec 2023 to n/a)  | senior ux and product designer at nerdery (apr 2019 to nov 2021),,1,  bachelor of fine arts communication design at texas state university (jun 2010 to dec 2014) senior ux and ui designer at slide ux (dec 2023 to n/a)  | senior ux and product designer at nerdery (apr 2019 to nov 2021) ,0.0
Candidate 69,qa engineer - manual,curriculum qa,,,,,,1,curriculum qa    ,0.5984875224700112
Candidate 70,lead generator,,,,,ejecutiva comercial at scotiabank colpatria (jan 2018 to dec 2020),microsoft excel|sales|communication|customer relationship management (crm),1,   ejecutiva comercial at scotiabank colpatria (jan 2018 to dec 2020) microsoft excel|sales|communication|customer relationship management (crm),0.0
Candidate 71,lead generator,,,,curso social at andrés bello national university (jan 2020 to dec 2022)  | uvm growth specialist at escala saas (jan 2015 to dec 2017)  |  social at aiep modalidad online (n/a to n/a)  | diploma gestión de talento humano at polytechnic university of catalonia (n/a to dec 2022),vice-presidente at fundación f.i.j.a.t.e (jan 2015 to dec 2017)  | partner development specialist at escala saas (n/a to n/a)  | consejero vocacional at pre univeristario social ucn (n/a to n/a),microsoft excel|financial services|social media|customer relationship management (crm)|lead qualification|business-to-business (b2b),1,  curso social at andrés bello national university (jan 2020 to dec 2022)  | uvm growth specialist at escala saas (jan 2015 to dec 2017)  |  social at aiep modalidad online (n/a to n/a)  | diploma gestión de talento humano at polytechnic university of catalonia (n/a to dec 2022) vice-presidente at fundación f.i.j.a.t.e (jan 2015 to dec 2017)  | partner development specialist at escala saas (n/a to n/a)  | consejero vocacional at pre univeristario social ucn (n/a to n/a) microsoft excel|financial services|social media|customer relationship management (crm)|lead qualification|business-to-business (b2b),0.040432353925406984
Candidate 72,qa engineer - manual,quality assurance analyst,,,"at university, morgantown (jan 1984 to dec 1985)  | bachelor of arts political science at ohio state university (n/a to dec 1983)  | certificate computer programming at ibm object technology university (n/a to dec 1995)  | certificate information technology, leadership and development at the chubb institute (n/a to dec 1997)  | sap lucent in at mercury interactive - indus consulting group (n/a to dec 1997)",quality assurance analyst at bank of america (mar 2023 to oct 2023)  | quality assurance analyst at sei investments (jun 2021 to dec 2022)  | quality assurance analyst at bloomberg (jan 2006 to apr 2017)  | quality assurance analyst at sei investments (dec 2004 to jan 2006)  | quality assurance analyst at gmac insurance (aug 2003 to nov 2004)  | quality assurance analyst at gtech (jan 2003 to jul 2003)  | quality assurance analyst at lucent technologies (jul 2001 to dec 2002)  | financial reporting quality assurance analyst at  (feb 2001 to jun 2001)  | quality assurance analyst at mergers and acquisitions (jan 1999 to aug 1999)  | quality assurance analyst at process and systems integration (jul 1998 to jul 1999)  | quality assurance analyst at the prudential life insurance (feb 1996 to jun 1998)  | field training consultant at  (feb 1995 to jan 1996)  | customer service manager at dynepco (dec 1992 to jan 1995)  | technical sales representative at union carbide (jan 1990 to nov 1992)  | captive sales agent at the metropolitan life insurance (jan 1987 to dec 1989),,1,"quality assurance analyst  at university, morgantown (jan 1984 to dec 1985)  | bachelor of arts political science at ohio state university (n/a to dec 1983)  | certificate computer programming at ibm object technology university (n/a to dec 1995)  | certificate information technology, leadership and development at the chubb institute (n/a to dec 1997)  | sap lucent in at mercury interactive - indus consulting group (n/a to dec 1997) quality assurance analyst at bank of america (mar 2023 to oct 2023)  | quality assurance analyst at sei investments (jun 2021 to dec 2022)  | quality assurance analyst at bloomberg (jan 2006 to apr 2017)  | quality assurance analyst at sei investments (dec 2004 to jan 2006)  | quality assurance analyst at gmac insurance (aug 2003 to nov 2004)  | quality assurance analyst at gtech (jan 2003 to jul 2003)  | quality assurance analyst at lucent technologies (jul 2001 to dec 2002)  | financial reporting quality assurance analyst at  (feb 2001 to jun 2001)  | quality assurance analyst at mergers and acquisitions (jan 1999 to aug 1999)  | quality assurance analyst at process and systems integration (jul 1998 to jul 1999)  | quality assurance analyst at the prudential life insurance (feb 1996 to jun 1998)  | field training consultant at  (feb 1995 to jan 1996)  | customer service manager at dynepco (dec 1992 to jan 1995)  | technical sales representative at union carbide (jan 1990 to nov 1992)  | captive sales agent at the metropolitan life insurance (jan 1987 to dec 1989) ",0.0
Candidate 73,qa engineer - manual,,,,ingeniería informática y at tecnológica de chile inacap (jan 2015 to dec 2018),ingeniero qa at evertec (apr 2023 to n/a)  | ingeniero qa at empresas gasco (jul 2021 to mar 2023)  | ingeniero qa at innovasoft (jun 2019 to jul 2021),,1,  ingeniería informática y at tecnológica de chile inacap (jan 2015 to dec 2018) ingeniero qa at evertec (apr 2023 to n/a)  | ingeniero qa at empresas gasco (jul 2021 to mar 2023)  | ingeniero qa at innovasoft (jun 2019 to jul 2021) ,0.18247384922583418
Candidate 74,qa engineer - manual,,,,istqb modern languages at kanba systems desing (n/a to n/a),ucla- universidad centro occidental at xepelin (jul 2022 to jun 2024)  | software engineer at equifax by 23people (oct 2018 to feb 2019)  | quality assurance at andain (mar 2018 to sep 2018)  | software engineer at 23people (jan 2018 to feb 2022)  | software engineer at arkiteck (oct 2017 to feb 2018)  | analista de sistemas at ingeniería en informatica (jan 2014 to dec 2016),quality assurance|microsoft azure,1,  istqb modern languages at kanba systems desing (n/a to n/a) ucla- universidad centro occidental at xepelin (jul 2022 to jun 2024)  | software engineer at equifax by 23people (oct 2018 to feb 2019)  | quality assurance at andain (mar 2018 to sep 2018)  | software engineer at 23people (jan 2018 to feb 2022)  | software engineer at arkiteck (oct 2017 to feb 2018)  | analista de sistemas at ingeniería en informatica (jan 2014 to dec 2016) quality assurance|microsoft azure,0.07055923450686864
Candidate 75,lead generator,,,,high school business administration at university of reading (may 1999 to aug 1999)  |   at gimnasio campestre (n/a to dec 1992)  |   at university of st. thomas (minnesota) (n/a to may 2000)  |  international studies at university of st. thomas (minnesota) (n/a to may 2000)  | master business at university of st. thomas (minnesota) (n/a to may 2001),sales manager at proxy medical (oct 2002 to n/a)  | financial advisor at alternativas de inversión (mar 2002 to aug 2002)  | financial advisor at american express financial advisors (aug 2001 to feb 2002),microsoft excel|sales|english|market research|sales processes,1,  high school business administration at university of reading (may 1999 to aug 1999)  |   at gimnasio campestre (n/a to dec 1992)  |   at university of st. thomas (minnesota) (n/a to may 2000)  |  international studies at university of st. thomas (minnesota) (n/a to may 2000)  | master business at university of st. thomas (minnesota) (n/a to may 2001) sales manager at proxy medical (oct 2002 to n/a)  | financial advisor at alternativas de inversión (mar 2002 to aug 2002)  | financial advisor at american express financial advisors (aug 2001 to feb 2002) microsoft excel|sales|english|market research|sales processes,0.0
Candidate 76,qa engineer - manual,,,,,,problem solving|javascript|qa automation|react.js,1,    problem solving|javascript|qa automation|react.js,0.13736979918144146
Candidate 77,ruby + (golang/rust) engineer,,,ruby|ruby on rails|postgresql|golang|rust,bachelor computer science at federal university of technology – paraná (jan 2016 to jan 2019),senior software engineer at jpmorgan chase & co. (sep 2023 to n/a)  | senior software engineer at will bank (jul 2022 to sep 2023)  | senior software engineer at zé delivery (sep 2021 to jul 2022)  | software engineer at objective (oct 2020 to sep 2021)  | back end engineer at hilab (may 2020 to oct 2020)  | back end engineer at omnichat (jun 2019 to may 2020)  | full stack developer at swa sistemas (jun 2018 to jul 2019)  | java software developer at cnpq (dec 2016 to jul 2019)  | full stack developer at digitaldoc (sep 2016 to dec 2017)  | rails developer at see marketing e design (sep 2015 to sep 2016)  | software developer at parque tecnológico itaipu - brasil (sep 2014 to sep 2015)  | c# developer at parque tecnológico itaipu - brasil (jan 2013 to sep 2014),,1,  bachelor computer science at federal university of technology – paraná (jan 2016 to jan 2019) senior software engineer at jpmorgan chase & co. (sep 2023 to n/a)  | senior software engineer at will bank (jul 2022 to sep 2023)  | senior software engineer at zé delivery (sep 2021 to jul 2022)  | software engineer at objective (oct 2020 to sep 2021)  | back end engineer at hilab (may 2020 to oct 2020)  | back end engineer at omnichat (jun 2019 to may 2020)  | full stack developer at swa sistemas (jun 2018 to jul 2019)  | java software developer at cnpq (dec 2016 to jul 2019)  | full stack developer at digitaldoc (sep 2016 to dec 2017)  | rails developer at see marketing e design (sep 2015 to sep 2016)  | software developer at parque tecnológico itaipu - brasil (sep 2014 to sep 2015)  | c# developer at parque tecnológico itaipu - brasil (jan 2013 to sep 2014) ,0.04333197098794137
Candidate 78,ruby + (golang/rust) engineer,,,ruby|ruby on rails|react,associate's degree system analysis and development at pontifical catholic university of goiás (jan 2021 to dec 2024),senior back end developer at ília (mar 2024 to n/a)  | development lead at shaw and partners (dec 2022 to feb 2024)  | developer at shaw and partners (jul 2022 to feb 2024)  | developer at one plus group / digital int / digital dev (feb 2021 to aug 2022)  | software engineer trainee at one plus group / digital int / digital dev (sep 2020 to feb 2021),,1,  associate's degree system analysis and development at pontifical catholic university of goiás (jan 2021 to dec 2024) senior back end developer at ília (mar 2024 to n/a)  | development lead at shaw and partners (dec 2022 to feb 2024)  | developer at shaw and partners (jul 2022 to feb 2024)  | developer at one plus group / digital int / digital dev (feb 2021 to aug 2022)  | software engineer trainee at one plus group / digital int / digital dev (sep 2020 to feb 2021) ,0.012699353545529308
Candidate 79,qa engineer - manual,,,,ingeniería informática at inacap (jan 2017 to jan 2018)  |  analista programador at inacap (jan 2015 to jan 2017)  |  traducción e interpretación at temuco catholic university (jan 2006 to jan 2010),desempleado at dirplan (aug 2017 to n/a),javascript|react.js,1,  ingeniería informática at inacap (jan 2017 to jan 2018)  |  analista programador at inacap (jan 2015 to jan 2017)  |  traducción e interpretación at temuco catholic university (jan 2006 to jan 2010) desempleado at dirplan (aug 2017 to n/a) javascript|react.js,0.0
Candidate 80,qa engineer - manual,,,,"bachelor of science community health at university of maryland, college park (n/a to n/a)",test specialist at data recognition (apr 2024 to n/a)  | software quality assurance analyst at smartlogic (nov 2023 to mar 2024)  | sales development representative at limble cmms (sep 2022 to mar 2023)  | management at bozzuto group / gmh communities (oct 2016 to mar 2019),,1,"  bachelor of science community health at university of maryland, college park (n/a to n/a) test specialist at data recognition (apr 2024 to n/a)  | software quality assurance analyst at smartlogic (nov 2023 to mar 2024)  | sales development representative at limble cmms (sep 2022 to mar 2023)  | management at bozzuto group / gmh communities (oct 2016 to mar 2019) ",0.0
Candidate 81,qa engineer - manual,,,,abogado at diego portales university (n/a to dec 2016),quality analyst at thoughtworks (jan 2022 to dec 2023),,1,  abogado at diego portales university (n/a to dec 2016) quality analyst at thoughtworks (jan 2022 to dec 2023) ,0.0
Candidate 82,qa engineer - manual,qa engineer,,,,tester at global business it (n/a to n/a),,1,qa engineer   tester at global business it (n/a to n/a) ,0.2352370465300289
Candidate 83,lead generator,creative content creator and media buyer,,,,digital marketing leader at lean solutions group (jan 2022 to jul 2022),english|communication,1,creative content creator and media buyer   digital marketing leader at lean solutions group (jan 2022 to jul 2022) english|communication,0.0
Candidate 84,qa engineer - manual,,,,computer science at andrés bello national university (mar 2007 to mar 2011),salesforce quality assurance agile at latam (jan 2022 to may 2022)  | salesforce quality assurance agile - client at abbot (feb 2021 to apr 2022)  | salesforce quality assurance agile at bci bank (feb 2021 to mar 2022)  | salesforce quality assurance agile at gdm arg (jan 2021 to feb 2022)  | quality assurance analyst at tata consultancy services (jul 2020 to may 2021)  | quality assurance analyst at tata consultancy services (jun 2019 to jun 2020)  | quality assurance analyst at tata consultancy services (oct 2018 to may 2019)  | quality assurance analyst at tata consultancy services (feb 2018 to oct 2018)  | quality assurance analyst at tata consultancy services (sep 2017 to jan 2018)  | quality assurance analyst at tata consultancy services (jun 2016 to sep 2017)  | quality assurance analyst at tata consultancy services (feb 2013 to may 2015)  | quality assurance analyst at bice bank (mar 2012 to nov 2013)  | quality assurance analyst at tuxpan engineering (mar 2011 to nov 2011)  | quality assurance analyst at xinergia laboral (jan 2011 to feb 2011)  | testing analyst at it people- ibm-banco bci (aug 2010 to dec 2011)  | salesforce quality assurance agile at sancor salud (n/a to n/a),,1,  computer science at andrés bello national university (mar 2007 to mar 2011) salesforce quality assurance agile at latam (jan 2022 to may 2022)  | salesforce quality assurance agile - client at abbot (feb 2021 to apr 2022)  | salesforce quality assurance agile at bci bank (feb 2021 to mar 2022)  | salesforce quality assurance agile at gdm arg (jan 2021 to feb 2022)  | quality assurance analyst at tata consultancy services (jul 2020 to may 2021)  | quality assurance analyst at tata consultancy services (jun 2019 to jun 2020)  | quality assurance analyst at tata consultancy services (oct 2018 to may 2019)  | quality assurance analyst at tata consultancy services (feb 2018 to oct 2018)  | quality assurance analyst at tata consultancy services (sep 2017 to jan 2018)  | quality assurance analyst at tata consultancy services (jun 2016 to sep 2017)  | quality assurance analyst at tata consultancy services (feb 2013 to may 2015)  | quality assurance analyst at bice bank (mar 2012 to nov 2013)  | quality assurance analyst at tuxpan engineering (mar 2011 to nov 2011)  | quality assurance analyst at xinergia laboral (jan 2011 to feb 2011)  | testing analyst at it people- ibm-banco bci (aug 2010 to dec 2011)  | salesforce quality assurance agile at sancor salud (n/a to n/a) ,0.0
Candidate 85,qa engineer - manual,sr. qa engineer,,,master of business administration international business at university of massachusetts lowell (n/a to n/a)  | bachelor business and economics at bangor university (n/a to n/a),senior quality assurance engineer at interactive brokers (aug 2016 to aug 2021),,1,sr. qa engineer  master of business administration international business at university of massachusetts lowell (n/a to n/a)  | bachelor business and economics at bangor university (n/a to n/a) senior quality assurance engineer at interactive brokers (aug 2016 to aug 2021) ,0.15644676660894039
Candidate 86,qa engineer - manual,,,,,qc analyst at moveapps (aug 2022 to n/a)  | qc analyst at moveapps (uno afp-app) (aug 2022 to n/a)  | qc analyst at globant (aug 2021 to dec 2022)  | qc analyst at globant (feb 2021 to aug 2021)  | tester at unity solutions (dec 2019 to feb 2021)  | qc analyst at nulta (oct 2017 to dec 2019),javascript|microsoft azure,1,   qc analyst at moveapps (aug 2022 to n/a)  | qc analyst at moveapps (uno afp-app) (aug 2022 to n/a)  | qc analyst at globant (aug 2021 to dec 2022)  | qc analyst at globant (feb 2021 to aug 2021)  | tester at unity solutions (dec 2019 to feb 2021)  | qc analyst at nulta (oct 2017 to dec 2019) javascript|microsoft azure,0.0
Candidate 87,lead generator,business development specialist,,,certificate management at university of palermo (buenos aires) (n/a to n/a),land acquisition manager at constructora ayala (feb 2016 to sep 2020),,0,business development specialist  certificate management at university of palermo (buenos aires) (n/a to n/a) land acquisition manager at constructora ayala (feb 2016 to sep 2020) ,0.0
Candidate 88,lead generator,,,,,,,0,    ,0.0
Candidate 89,senior unity developer,,,android|c#|ios|unity,qa manager at national technological university (n/a to n/a)  |  desarrollo de software at instituto tecnológico de enseñanza superior (n/a to n/a),game developer at creamos (n/a to n/a)  | team lead at grupo chance s.a (n/a to n/a)  | software developer at instituto tecnológico de enseñanza superior (n/a to n/a),communication|c#|unity,1,  qa manager at national technological university (n/a to n/a)  |  desarrollo de software at instituto tecnológico de enseñanza superior (n/a to n/a) game developer at creamos (n/a to n/a)  | team lead at grupo chance s.a (n/a to n/a)  | software developer at instituto tecnológico de enseñanza superior (n/a to n/a) communication|c#|unity,0.2564741317622434
Candidate 90,lead generator,javier navas,,,,business development representative at palm era marketing (oct 2023 to jul 2024)  | business development representative at quadient (oct 2023 to jul 2024)  | business development representative at bdr outbound (jun 2023 to oct 2023)  | sales development representative at comunidad feliz servicios de ti (feb 2020 to jun 2023)  | ejecutivo de negocios at mercantil banco universal (nov 2018 to feb 2020)  | asesor comercial at distribuciones 7 hermanos c.a (feb 2016 to nov 2018)  | analista de negocios - analista de credito at c.a (feb 2016 to nov 2018),sales|customer relationship management (crm)|business-to-business (b2b),1,javier navas   business development representative at palm era marketing (oct 2023 to jul 2024)  | business development representative at quadient (oct 2023 to jul 2024)  | business development representative at bdr outbound (jun 2023 to oct 2023)  | sales development representative at comunidad feliz servicios de ti (feb 2020 to jun 2023)  | ejecutivo de negocios at mercantil banco universal (nov 2018 to feb 2020)  | asesor comercial at distribuciones 7 hermanos c.a (feb 2016 to nov 2018)  | analista de negocios - analista de credito at c.a (feb 2016 to nov 2018) sales|customer relationship management (crm)|business-to-business (b2b),0.0
Candidate 91,lead generator,,,,"bogotá, d. c  at el bosque university (jan 2015 to dec 2020)  | bachelor's  at colegio eucarístico villa guadalupe (n/a to dec 2014)  | bachelor environmental management at polytechnic university of catalonia (n/a to dec 2015)  | certificate sales at hubspot academy (n/a to oct 2019)",administrative assistant at gaspy home health care (oct 2022 to oct 2023)  | business development representative at abroad solutions (jun 2022 to sep 2022)  | analyst at pandanus consulting group (nov 2021 to aug 2022)  | coach at sitel (apr 2021 to oct 2021)  | quality analyst at sitel (sep 2020 to apr 2021),,1,"  bogotá, d. c  at el bosque university (jan 2015 to dec 2020)  | bachelor's  at colegio eucarístico villa guadalupe (n/a to dec 2014)  | bachelor environmental management at polytechnic university of catalonia (n/a to dec 2015)  | certificate sales at hubspot academy (n/a to oct 2019) administrative assistant at gaspy home health care (oct 2022 to oct 2023)  | business development representative at abroad solutions (jun 2022 to sep 2022)  | analyst at pandanus consulting group (nov 2021 to aug 2022)  | coach at sitel (apr 2021 to oct 2021)  | quality analyst at sitel (sep 2020 to apr 2021) ",0.0
